percentage20_Donald_Trump,percentage20_Joe_Biden,cases,TotalPop,case_rate
0.755,0.231,202,7308,0.027640941
0.553,0.43,1222,75190,0.016252161
0.802,0.186,217,5675,0.038237885
0.777,0.205,351,28262,0.012419503
0.859,0.133,719,53607,0.013412427
0.4,0.593,1237,44420,0.027847816
0.539,0.444,6695,181831,0.036819904
0.698,0.285,297,52880,0.00561649
0.383,0.595,14635,847834,0.017261634
0.655,0.326,1974,79207,0.02492204
0.803,0.183,2134,59841,0.035661169
0.693,0.287,306,15644,0.019560215
0.779,0.208,371,20665,0.017953061
0.516,0.469,543,30378,0.017874778
0.817,0.168,1133,51906,0.02182792
0.683,0.303,4302,91518,0.047007146
0.562,0.415,3073,107723,0.02852687
0.603,0.384,656,21465,0.030561379
0.767,0.221,129,13142,0.009815858
0.462,0.516,2808.759225,450057,0.006240897
0.564,0.424,13008,518660,0.025080014
0.756,0.223,264,11568,0.022821577
0.737,0.239,563,31848,0.017677719
0.623,0.359,446,21490,0.020753839
0.729,0.248,84,6918,0.012142238
0.721,0.264,298,13626,0.021869954
0.74,0.24,1995,76830,0.025966419
0.585,0.393,11,4105,0.002679659
0.358,0.623,21826,1023811,0.021318388
0.698,0.29,1334,31586,0.042233901
0.573,0.393,154,39280,0.00392057
0.834,0.155,2966,64927,0.045682074
0.787,0.196,1952,68609,0.028451078
0.65,0.333,3959,70818,0.055903866
0.518,0.459,1240,59862,0.02071431
0.933,0.054,70,1591,0.043997486
0.628,0.359,1012,48443,0.020890531
0.661,0.316,56,6864,0.008158508
0.695,0.279,634,10920,0.058058608
0.599,0.391,650,14670,0.044308112
0.752,0.236,2526,63457,0.039806483
0.74,0.249,2394,88695,0.026991375
0.762,0.219,287,5502,0.05216285
0.588,0.396,3590,102917,0.034882478
0.609,0.373,1661,35321,0.047025849
0.707,0.258,3586,69628,0.051502269
0.803,0.189,175,11498,0.015220038
0.695,0.297,1765,35688,0.0494564
0.439,0.555,170,5410,0.03142329
0.573,0.405,1437,48630,0.029549661
0.59,0.39,570,17429,0.032704114
0.76,0.218,115,8269,0.013907365
0.574,0.406,5456,123824,0.04406254
0.72,0.26,672,33554,0.020027418
0.484,0.505,1583,47510,0.033319301
0.366,0.622,491,20190,0.02431897
0.56,0.418,1632,107088,0.015239803
0.55,0.428,468,64701,0.007233273
0.643,0.34,4921,223868,0.021981704
0.687,0.293,71,40345,0.001759822
0.738,0.247,1542,40210,0.038348669
0.669,0.314,621,38991,0.015926752
0.629,0.352,2212,61581,0.03592017
0.605,0.35,1219,29306,0.041595578
0.501,0.465,362,25687,0.014092732
0.638,0.337,961,18898,0.050851942
0.809,0.162,160,8253,0.01938689
0.611,0.373,267,15638,0.017073795
0.74,0.254,774,16746,0.046219993
0.505,0.464,11881,223683,0.053115346
0.862,0.123,106,4809,0.022042005
0.801,0.19,1255,24472,0.051283099
0.493,0.5,792,20506,0.038622842
0.592,0.388,729,22095,0.03299389
0.777,0.201,484,9996,0.048419368
0.772,0.207,353,14260,0.024754558
0.751,0.23,428,27807,0.015391808
0.82,0.164,39,5572,0.006999282
0.72,0.264,274,11999,0.022835236
0.6,0.381,2378,149546,0.015901462
0.547,0.42,68,31822,0.002136886
0.444,0.536,6958,250979,0.027723435
0.807,0.181,728,24968,0.029157321
0.391,0.591,2689,48002,0.056018499
0.449,0.547,264,12331,0.021409456
0.691,0.286,559,20414,0.027383168
0.617,0.362,350,62183,0.005628548
0.695,0.29,461,60871,0.007573393
0.727,0.246,1397,51867,0.026934274
0.31,0.655,6230,572071,0.010890257
0.608,0.381,2153,207661,0.010367859
0.585701782,0.39453118,1335,126190,0.010579285
0.675,0.306,3948,126437,0.031225037
0.744,0.244,719,34667,0.020740185
0.744,0.227,0,155577,0
0.756,0.231,1078,54457,0.019795435
0.465,0.502,137,58691,0.002334259
0.684,0.303,4887,133967,0.036479133
0.682,0.306,1757,46449,0.037826433
0.855,0.125,193,11550,0.016709957
0.462,0.509,13637,445551,0.030607046
0.259,0.724,5800,361509,0.016043861
0.45,0.534,1434,53421,0.026843376
0.598,0.383,593,10936,0.054224579
0.596,0.388,13463,396731,0.033934832
0.651,0.333,2616,51651,0.050647616
0.665,0.323,1107,24170,0.045800579
0.782,0.21,1268,29833,0.042503268
0.753,0.234,161,6405,0.025136612
0.849,0.14,546,16569,0.032953105
0.635,0.344,1727,66972,0.025786896
0.804,0.184,300,20692,0.014498357
0.307,0.681,42172,1763822,0.023909442
0.848,0.144,331,13369,0.02475877
0.627,0.36,1040,20458,0.050835859
0.554,0.435,4756,124496,0.038202031
0.727,0.243,386,9409,0.041024551
0.634,0.342,561,91442,0.006135036
0.677,0.307,1858,115915,0.016028987
0.664,0.327,294,51656,0.005691498
0.869,0.123,1624,16713,0.097169868
0.756,0.227,0,2700,0
0.745,0.237,626,41063,0.015244868
0.516,0.465,2808.759225,21620,0.129914858
0.757,0.22,1636,33776,0.04843676
0.379,0.611,15413,269624,0.057164792
0.591,0.366,0,244101,0
0.538,0.46,44,2627,0.016749144
0.614,0.371,2045,36945,0.055352551
0.752,0.236,349,13180,0.026479514
0.792,0.19,1239,37558,0.032988977
0.796,0.192,384,9868,0.03891366
0.805,0.179,124,3597,0.034473172
0.811,0.179,36,8637,0.004168114
0.649,0.339,1495,40043,0.037334865
0.576,0.395,6766,285729,0.02367978
0.771,0.208,562,27832,0.020192584
0.797,0.186,201,4089,0.049156273
0.545,0.44,972,25518,0.038090759
0.855,0.141,379,11274,0.033617172
0.616,0.367,755,15376,0.049102497
0.359,0.63,40946,975321,0.041982076
0.635,0.351,4538,356835,0.012717362
0.537,0.454,351,17596,0.019947715
0.877,0.102,164,7117,0.023043417
0.749,0.231,229,15793,0.014500095
0.662,0.319,192,32915,0.005833207
0.712,0.28,1471,41430,0.035505672
0.367,0.608,1615,212738,0.007591498
0.771,0.211,73,2108,0.034629981
0.693,0.302,370,7952,0.046529175
0.873,0.118,4,846,0.004728132
0.737,0.224,1,1415,0.000706714
0.924,0.072,91,5599,0.016252902
0.784,0.193,1622,78706,0.02060834
0.825,0.163,1022,28509,0.035848329
0.779,0.204,299,14186,0.021077118
0.707,0.276,692,24279,0.028501998
0.808,0.18,1273,26394,0.048230658
0.775,0.2,122,9858,0.012375735
0.531,0.447,1804,56823,0.031747708
0.698,0.29,5701,103963,0.054836817
0.731,0.241,573,33481,0.017114184
0.819,0.166,882,36027,0.024481639
0.435,0.532,1832,47794,0.038331171
0.863,0.129,44,1121,0.039250669
0.836,0.153,44,2157,0.020398702
0.698,0.285,4001,131778,0.030361669
0.509,0.469,2572,102014,0.025212226
0.779,0.211,384,12972,0.02960222
0.31,0.686,576,10919,0.052752084
0.732,0.263,259,8896,0.029114209
0.561,0.429,317,9905,0.032004038
0.778,0.212,1869,68525,0.027274717
0.679,0.299,150,6398,0.023444827
0.558,0.435,374,9147,0.040887723
0.32,0.666,346,9084,0.038088948
0.453,0.527,20657,687727,0.030036628
0.437,0.556,1251,21839,0.057282843
0.82,0.151,1989,32916,0.06042654
0.723,0.258,452,37061,0.012196109
0.346,0.644,1467,32256,0.045479911
0.287,0.7,2808.759225,14817,0.189563287
0.677,0.302,2062,67477,0.030558561
0.622,0.361,7582,212161,0.035737011
0.482,0.495,9588,508313,0.018862394
0.798,0.182,122,8858,0.013772861
0.481,0.509,3173,81379,0.038990403
0.677,0.3,4999,128874,0.038789826
0.738,0.254,1004,47205,0.021268933
0.433,0.549,2808.759225,27516,0.102077309
0.338,0.643,1469,116674,0.012590637
0.294,0.663,153,43332,0.003530878
0.284,0.669,128,55485,0.00230693
0.825,0.168,153,7777,0.019673396
0.742,0.248,699,14631,0.047775272
0.623,0.359,544,10545,0.051588431
0.497,0.482,11638,287512,0.04047831
0.508,0.468,9438,169540,0.055668279
0.518,0.467,544,20575,0.026439854
0.488,0.492,1406,50992,0.027572953
